"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 15:19:49 EEST 2021","Wed Aug 04 15:19:56 EEST 2021","6807","","tests\MyFirstTest.spec.js","","","","Test that search is working",""
"passed","Wed Aug 04 15:20:43 EEST 2021","Wed Aug 04 15:20:50 EEST 2021","6420","","tests\MyFirstTest.spec.js","","","","Generate 64 chracters long password",""
"passed","Wed Aug 04 15:20:06 EEST 2021","Wed Aug 04 15:20:13 EEST 2021","6505","","tests\MyFirstTest.spec.js","","","","Test that cheat sheets are working",""
"passed","Wed Aug 04 15:19:45 EEST 2021","Wed Aug 04 15:19:49 EEST 2021","3912","","tests\MyFirstTest.spec.js","","","","duckduckgo is loading",""
"passed","Wed Aug 04 15:20:31 EEST 2021","Wed Aug 04 15:20:37 EEST 2021","6425","","tests\MyFirstTest.spec.js","","","","Generate 8 chracters long password",""
"passed","Wed Aug 04 15:19:56 EEST 2021","Wed Aug 04 15:20:06 EEST 2021","10506","","tests\MyFirstTest.spec.js","","","","Test that search is working recorded by inspector",""
"passed","Wed Aug 04 15:20:37 EEST 2021","Wed Aug 04 15:20:43 EEST 2021","6353","","tests\MyFirstTest.spec.js","","","","Generate 16 chracters long password",""
"passed","Wed Aug 04 15:20:56 EEST 2021","Wed Aug 04 15:21:03 EEST 2021","6323","","tests\MyFirstTest.spec.js","","","","Fails to Generate 65 chracters long password2",""
"passed","Wed Aug 04 15:20:50 EEST 2021","Wed Aug 04 15:20:56 EEST 2021","6505","","tests\MyFirstTest.spec.js","","","","Fails to Generate 7 chracters long password2",""
"passed","Wed Aug 04 15:20:22 EEST 2021","Wed Aug 04 15:20:31 EEST 2021","8321","","tests\MyFirstTest.spec.js","","","","Check that inTitle functionality works",""
"passed","Wed Aug 04 15:20:13 EEST 2021","Wed Aug 04 15:20:22 EEST 2021","9377","","tests\MyFirstTest.spec.js","","","","Test that wikipedia shortener works",""
